metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric,sample_tags
claude_enterprise_analytics.org.dau,gauge,,,,Daily active users in the Claude org for the report_date.,0,claude_enterprise_analytics,DAU,,"report_date,org_id"
claude_enterprise_analytics.org.wau,gauge,,,,Weekly active users in the Claude org for the report_date.,0,claude_enterprise_analytics,WAU,,"report_date,org_id"
claude_enterprise_analytics.org.mau,gauge,,,,Monthly active users in the Claude org for the report_date.,0,claude_enterprise_analytics,MAU,,"report_date,org_id"
claude_enterprise_analytics.org.seats_assigned,gauge,,,,Total Claude seats assigned in the org as of the report_date.,0,claude_enterprise_analytics,seats assigned,,"report_date,org_id"
claude_enterprise_analytics.org.invites_pending,gauge,,,,Pending Claude seat invitations as of the report_date.,0,claude_enterprise_analytics,pending invites,,"report_date,org_id"
claude_enterprise_analytics.org.adoption_rate.daily,gauge,,percent,,Daily adoption rate: DAU / assigned_seats as reported by the API.,0,claude_enterprise_analytics,daily adoption,,"report_date,org_id"
claude_enterprise_analytics.org.adoption_rate.weekly,gauge,,percent,,Weekly adoption rate: WAU / assigned_seats as reported by the API.,0,claude_enterprise_analytics,weekly adoption,,"report_date,org_id"
claude_enterprise_analytics.org.adoption_rate.monthly,gauge,,percent,,Monthly adoption rate: MAU / assigned_seats as reported by the API.,0,claude_enterprise_analytics,monthly adoption,,"report_date,org_id"
claude_enterprise_analytics.org.cowork.dau,gauge,,,,Daily active users of the Claude Cowork product for the report_date.,0,claude_enterprise_analytics,cowork DAU,,"report_date,org_id"
claude_enterprise_analytics.org.cowork.wau,gauge,,,,Weekly active users of the Claude Cowork product for the report_date.,0,claude_enterprise_analytics,cowork WAU,,"report_date,org_id"
claude_enterprise_analytics.org.cowork.mau,gauge,,,,Monthly active users of the Claude Cowork product for the report_date.,0,claude_enterprise_analytics,cowork MAU,,"report_date,org_id"
claude_enterprise_analytics.user.chat.messages,gauge,,,,Per-user chat message count for the report_date.,0,claude_enterprise_analytics,chat messages,,"report_date,user_email,org_id"
claude_enterprise_analytics.user.chat.conversations,gauge,,,,Per-user distinct chat conversation count for the report_date.,0,claude_enterprise_analytics,chat conversations,,"report_date,user_email,org_id"
claude_enterprise_analytics.user.chat.thinking_messages,gauge,,,,Per-user chat thinking-mode message count for the report_date.,0,claude_enterprise_analytics,thinking messages,,"report_date,user_email,org_id"
claude_enterprise_analytics.user.projects.used,gauge,,,,Per-user distinct projects used for the report_date.,0,claude_enterprise_analytics,projects used,,"report_date,user_email,org_id"
claude_enterprise_analytics.user.projects.created,gauge,,,,Per-user distinct projects created for the report_date.,0,claude_enterprise_analytics,projects created,,"report_date,user_email,org_id"
claude_enterprise_analytics.user.artifacts.created,gauge,,,,Per-user distinct artifacts created for the report_date.,0,claude_enterprise_analytics,artifacts created,,"report_date,user_email,org_id"
claude_enterprise_analytics.user.skills.used,gauge,,,,Per-user distinct skills used for the report_date.,0,claude_enterprise_analytics,skills used,,"report_date,user_email,org_id"
claude_enterprise_analytics.user.connectors.used,gauge,,,,Per-user MCP/connector usage count for the report_date.,0,claude_enterprise_analytics,connectors used,,"report_date,user_email,org_id"
claude_enterprise_analytics.user.files.uploaded,gauge,,,,Per-user distinct files uploaded to chat for the report_date.,0,claude_enterprise_analytics,files uploaded,,"report_date,user_email,org_id"
claude_enterprise_analytics.user.claude_code.sessions,gauge,,,,Per-user Claude Code session count for the report_date.,0,claude_enterprise_analytics,Claude Code sessions,,"report_date,user_email,org_id"
claude_enterprise_analytics.user.claude_code.commits,gauge,,,,Per-user Claude Code commit count for the report_date.,0,claude_enterprise_analytics,Claude Code commits,,"report_date,user_email,org_id"
claude_enterprise_analytics.user.claude_code.prs,gauge,,,,Per-user Claude Code pull-request count for the report_date.,0,claude_enterprise_analytics,Claude Code PRs,,"report_date,user_email,org_id"
claude_enterprise_analytics.user.claude_code.lines_added,gauge,,,,Per-user Claude Code lines-of-code added for the report_date.,0,claude_enterprise_analytics,lines added,,"report_date,user_email,org_id"
claude_enterprise_analytics.user.claude_code.lines_removed,gauge,,,,Per-user Claude Code lines-of-code removed for the report_date.,0,claude_enterprise_analytics,lines removed,,"report_date,user_email,org_id"
claude_enterprise_analytics.user.claude_code.tool_actions,gauge,,,,Per-user Claude Code tool action count for the report_date; tags `tool` and `outcome` (accepted/rejected) split this.,0,claude_enterprise_analytics,tool actions,,"report_date,user_email,tool,outcome,org_id"
claude_enterprise_analytics.user.web_search_count,gauge,,,,Per-user web-search invocation count for the report_date.,0,claude_enterprise_analytics,user web searches,,"report_date,user_email,org_id"
claude_enterprise_analytics.tokens.uncached_input,gauge,,,,Org-wide uncached input tokens consumed for the report_date.,0,claude_enterprise_analytics,uncached input tokens,,"report_date,model,product,context_window,org_id"
claude_enterprise_analytics.tokens.cache_read,gauge,,,,Org-wide cache-read input tokens consumed for the report_date.,0,claude_enterprise_analytics,cache read tokens,,"report_date,model,product,context_window,org_id"
claude_enterprise_analytics.tokens.cache_write_1h,gauge,,,,Org-wide 1-hour ephemeral cache-write tokens for the report_date.,0,claude_enterprise_analytics,cache write 1h,,"report_date,model,product,context_window,org_id"
claude_enterprise_analytics.tokens.cache_write_5m,gauge,,,,Org-wide 5-minute ephemeral cache-write tokens for the report_date.,0,claude_enterprise_analytics,cache write 5m,,"report_date,model,product,context_window,org_id"
claude_enterprise_analytics.tokens.output,gauge,,,,Org-wide output tokens for the report_date.,0,claude_enterprise_analytics,output tokens,,"report_date,model,product,context_window,org_id"
claude_enterprise_analytics.requests,gauge,,request,,Org-wide API request count for the report_date.,0,claude_enterprise_analytics,requests,,"report_date,model,product,context_window,org_id"
claude_enterprise_analytics.web_search_requests,gauge,,request,,Org-wide web-search tool invocations for the report_date.,0,claude_enterprise_analytics,web search requests,,"report_date,model,product,context_window,org_id"
claude_enterprise_analytics.cost.amount_usd,gauge,,dollar,,Org-wide cost (USD) for the report_date; the API only exposes list pricing.,0,claude_enterprise_analytics,cost USD,,"report_date,model,product,currency,org_id"
claude_enterprise_analytics.cost.list_amount_usd,gauge,,dollar,,Org-wide list-price cost (USD) for the report_date.,0,claude_enterprise_analytics,list cost USD,,"report_date,model,product,currency,org_id"
claude_enterprise_analytics.user.tokens_total,gauge,,,,Per-user total tokens (input + output + cache) for the report_date.,0,claude_enterprise_analytics,total tokens,,"report_date,user_email,org_id"
claude_enterprise_analytics.user.uncached_input_tokens,gauge,,,,Per-user uncached input tokens for the report_date.,0,claude_enterprise_analytics,uncached input,,"report_date,user_email,org_id"
claude_enterprise_analytics.user.output_tokens,gauge,,,,Per-user output tokens for the report_date.,0,claude_enterprise_analytics,output tokens,,"report_date,user_email,org_id"
claude_enterprise_analytics.user.cache_read_tokens,gauge,,,,Per-user cache-read input tokens for the report_date.,0,claude_enterprise_analytics,cache read,,"report_date,user_email,org_id"
claude_enterprise_analytics.user.cache_write_5m_tokens,gauge,,,,Per-user 5-minute ephemeral cache-write tokens for the report_date.,0,claude_enterprise_analytics,cache write 5m,,"report_date,user_email,org_id"
claude_enterprise_analytics.user.cache_write_1h_tokens,gauge,,,,Per-user 1-hour ephemeral cache-write tokens for the report_date.,0,claude_enterprise_analytics,cache write 1h,,"report_date,user_email,org_id"
claude_enterprise_analytics.user.requests,gauge,,request,,Per-user API request count for the report_date.,0,claude_enterprise_analytics,user requests,,"report_date,user_email,org_id"
claude_enterprise_analytics.user.cost.amount_usd,gauge,,dollar,,Per-user cost (USD) for the report_date; the API only exposes list pricing.,0,claude_enterprise_analytics,user cost USD,,"report_date,user_email,currency,org_id"
claude_enterprise_analytics.user.cost.list_amount_usd,gauge,,dollar,,Per-user list-price cost (USD) for the report_date.,0,claude_enterprise_analytics,user list cost USD,,"report_date,user_email,currency,org_id"
