metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
scaleops.health_check,gauge,,,,"Health check status of the ScaleOps agent.",0,scaleops,health_check,
scaleops.events,gauge,,,,"Number of ScaleOps events.",0,scaleops,events,
scaleops.alerts,gauge,,,,"Number of ScaleOps alerts.",0,scaleops,alerts,
scaleops.multi_cluster_child_connection_status,gauge,,,,"Connection status of a child cluster in a multi-cluster deployment.",0,scaleops,multi_cluster_child_connection_status,
scaleops.recommendation_managed_workload_status,gauge,,,,"Status of a workload managed by a ScaleOps recommendation.",0,scaleops,recommendation_managed_workload_status,
scaleops.total_automated_workloads,gauge,,,,"Total number of automated workloads.",0,scaleops,total_automated_workloads,
scaleops.cluster_automation_score,gauge,,,,"Automation score of the cluster.",0,scaleops,cluster_automation_score,
scaleops.sum_workloads_oom,gauge,,,,"Total number of workloads that went out-of-memory.",0,scaleops,sum_workloads_oom,
scaleops.namespace_auto_state,gauge,,,,"Automation state of a namespace.",0,scaleops,namespace_auto_state,
scaleops.estimated_monthly_costs,gauge,,,,"Estimated monthly costs of the cluster.",0,scaleops,estimated_monthly_costs,
scaleops.hpa_optimization_gap,gauge,,,,"Gap between current and optimized HPA configuration.",0,scaleops,hpa_optimization_gap,
scaleops.underprovisioned_workloads,gauge,,,,"Number of underprovisioned workloads.",0,scaleops,underprovisioned_workloads,
scaleops.sum_automated_pods_count,gauge,,,,"Total number of automated pods.",0,scaleops,sum_automated_pods_count,
scaleops.recommendation_attached_policy,gauge,,,,"Policy attached to a ScaleOps recommendation.",0,scaleops,recommendation_attached_policy,
scaleops.zdt_pod_force_delete,gauge,,,,"Number of zero-downtime pod force deletes.",0,scaleops,zdt_pod_force_delete,
scaleops.updater_failed_evictions,gauge,,,,"Number of failed evictions performed by the ScaleOps updater.",0,scaleops,updater_failed_evictions,
scaleops.total_unautomated_workloads,gauge,,,,"Total number of unautomated workloads.",0,scaleops,total_unautomated_workloads,
scaleops.argo_out_of_sync_object,gauge,,,,"Number of out-of-sync Argo objects.",0,scaleops,argo_out_of_sync_object,
scaleops.health_check_admissions,gauge,,,,"Number of health check admissions.",0,scaleops,health_check_admissions,
scaleops.dashboard_wasted_resources,gauge,,,,"Amount of wasted resources reported on the dashboard.",0,scaleops,dashboard_wasted_resources,
scaleops.nodes_total_hourly_cost,gauge,,,,"Total hourly cost of the cluster nodes.",0,scaleops,nodes_total_hourly_cost,
scaleops.total_workloads_by_type,gauge,,,,"Total number of workloads grouped by type.",0,scaleops,total_workloads_by_type,
scaleops.prometheus_tsdb_storage_usage_percentage,gauge,,,,"Prometheus TSDB storage usage percentage.",0,scaleops,prometheus_tsdb_storage_usage_percentage,
scaleops.min_replicas_active_savings,gauge,,,,"Active savings achieved through minimum replicas.",0,scaleops,min_replicas_active_savings,
scaleops.evictions_by_types_count,gauge,,,,"Number of evictions grouped by type.",0,scaleops,evictions_by_types_count,
scaleops.consolidation_system_errors,gauge,,,,"Number of consolidation system errors.",0,scaleops,consolidation_system_errors,
scaleops.min_replicas_available_savings,gauge,,,,"Available savings through minimum replicas.",0,scaleops,min_replicas_available_savings,
scaleops.automated_not_optimized_workloads,gauge,,,,"Number of automated but not optimized workloads.",0,scaleops,automated_not_optimized_workloads,
scaleops.kubelet_eviction_event_count,gauge,,,,"Number of kubelet eviction events.",0,scaleops,kubelet_eviction_event_count,
scaleops.workload_recommendation_not_updated,gauge,,,,"Number of workloads whose recommendation was not updated.",0,scaleops,workload_recommendation_not_updated,
scaleops.pod_container_resource_recommendation_requests,gauge,,,,"Resource recommendation requests for pod containers.",0,scaleops,pod_container_resource_recommendation_requests,
scaleops.hpa_threshold_optimization_gap,gauge,,,,"Gap between current and optimized HPA thresholds.",0,scaleops,hpa_threshold_optimization_gap,
scaleops.avg_active_node_monthly_cost,gauge,,,,"Average monthly cost of active nodes.",0,scaleops,avg_active_node_monthly_cost,
scaleops.memory_underprovisioned_pods_on_stress_nodes,gauge,,,,"Number of memory-underprovisioned pods on stressed nodes.",0,scaleops,memory_underprovisioned_pods_on_stress_nodes,
scaleops.total_argo_out_of_sync_hpa_objects_count,gauge,,,,"Total number of out-of-sync Argo HPA objects.",0,scaleops,total_argo_out_of_sync_hpa_objects_count,
scaleops.workloads_with_cpu_throttle_percentage_higher_than_75_count,gauge,,,,"Number of workloads with CPU throttle percentage higher than 75.",0,scaleops,workloads_with_cpu_throttle_percentage_higher_than_75_count,
