metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name
proxysql.active_transactions,gauge,,transaction,,Count of how many client connection are currently processing a transaction,0,proxysql,Active transactions
proxysql.query_processor_time_nsec,rate,,nanosecond,,The time spent inside the Query Processor to determine what action needs to be taken with the query (internal module),-1,proxysql,Query processor time
proxysql.questions,rate,,question,second,Total number of client requests / statements executed,0,proxysql,Questions
proxysql.slow_queries,rate,,query,second,"Total number of queries with an execution time greater than ""mysql-long_query_time"" milliseconds",-1,proxysql,Slow queries
proxysql.sqlite3_memory_bytes,gauge,,byte,,Memory used by SQLite,0,proxysql,SQLite memory
proxysql.client.connections_aborted,rate,,connection,second,Client failed connections (or closed improperly),-1,proxysql,Client connections failed
proxysql.client.connections_connected,gauge,,connection,,Client connections that are currently connected,0,proxysql,Client connections connected
proxysql.client.connections_created,rate,,connection,second,Number of client connections created,0,proxysql,Client connections created
proxysql.client.connections_non_idle,gauge,,connection,,Number of client connections that are currently handled by the main worker threads,0,proxysql,Client connections non-idle
proxysql.server.connections_aborted,rate,,connection,second,Backend failed connections (or closed improperly),-1,proxysql,Backend connections failed
proxysql.server.connections_connected,gauge,,connection,,Backend connections that are currently connected,0,proxysql,Backend connections connected
proxysql.server.connections_created,rate,,connection,second,Number of backend connections created,0,proxysql,Backend connections created
proxysql.backend.query_time_nsec,rate,,nanosecond,,Time spent making network calls to communicate with the backends,-1,proxysql,Backend query time
proxysql.mysql.backend_buffers_bytes,gauge,,byte,,Memory use of buffers related to backend connections,0,proxysql,Backend buffers memory
proxysql.mysql.frontend_buffers_bytes,gauge,,byte,,Memory use of buffers related to frontend connections (read/write buffers and other queues),0,proxysql,Frontend buffers memory
proxysql.mysql.session_internal_bytes,gauge,,byte,,Other memory used by ProxySQL to handle MySQL Sessions,0,proxysql,MySQL sessions buffers memory
proxysql.mysql.thread_workers,gauge,,worker,,Number of MySQL Thread workers i.e. “mysql-threads”,0,proxysql,MySQL threads
proxysql.mysql.monitor_workers,gauge,,worker,,The number of monitor threads,0,proxysql,Monitor threads
proxysql.pool.conn_success,rate,,connection,second,Number of requests where a connection was already available in the connection pool,0,proxysql,Connection pool success
proxysql.pool.conn_failure,rate,,connection,second,Number of requests where a connection was not available in the connection pool and either: a new connection had to be created or no backend was available,-1,proxysql,Connection pool failure
proxysql.pool.conn_immediate,rate,,connection,second,Number of connections that a MySQL Thread obtained from its own local connection pool cache,0,proxysql,Connection pool immediate
proxysql.pool.memory_bytes,gauge,,byte,,Memory used by the connection pool to store connections metadata,0,proxysql,Connection pool memory
proxysql.client.statements.active_total,gauge,,unit,,Number of prepared statements that are in use by clients,0,proxysql,Client prepared statements active
proxysql.client.statements.active_unique,gauge,,unit,,Number of unique prepared statements currently in use by clients,0,proxysql,Client prepared statements active unique
proxysql.server.statements.active_total,gauge,,unit,,Number of prepared statements currently available across all backend connections,0,proxysql,Backend prepared statements active
proxysql.server.statements.active_unique,gauge,,unit,,Number of unique prepared statements currently available across all backend connections,0,proxysql,Backend prepared statements active unique
proxysql.statements.cached,gauge,,unit,,Number of global prepared statements for which proxysql has metadata,0,proxysql,Global prepared statements cached
proxysql.query_cache.entries,gauge,,entry,,Number of entries currently stored in the query cache,0,proxysql,Query cache entries
proxysql.query_cache.memory_bytes,gauge,,byte,,Memory usage of the query cache,0,proxysql,Query cache memory
proxysql.query_cache.purged,rate,,entry,second,Number of entries purged by the Query Cache due to TTL expiration,0,proxysql,Query cache purged
proxysql.query_cache.bytes_in,gauge,,byte,,Number of bytes sent into the Query Cache,0,proxysql,Query cache bytes in
proxysql.query_cache.bytes_out,gauge,,byte,,Number of bytes read from the Query Cache,0,proxysql,Query cache bytes out
proxysql.query_cache.get.count,gauge,,query,,Number of read requests to the Query Cache,0,proxysql,Query cache reads
proxysql.query_cache.get_ok.count,gauge,,query,,Number of successful read requests,0,proxysql,Query cache reads successful
proxysql.query_cache.set.count,gauge,,query,,Number of write requests to the Query Cache,0,proxysql,Query cache writes
proxysql.performance.command.total_time_ms,rate,,millisecond,,Total time spent executing commands of a type,0,proxysql,Command time
proxysql.performance.command.total_count,count,,command,,Total number of commands of a type executed,0,proxysql,Command count
proxysql.performance.command.cnt_100us,count,,command,,Number of commands of a type which executed within 100 microseconds,0,proxysql,Command count 100us
proxysql.performance.command.cnt_500us,count,,command,,"Number of commands of a type which executed within 500 microseconds, but more than 100 microseconds",0,proxysql,Command count 500us
proxysql.performance.command.cnt_1ms,count,,command,,"Number of commands of a type which executed within 1 milliseconds, but more than 500 microseconds",0,proxysql,Command count 1ms
proxysql.performance.command.cnt_5ms,count,,command,,"Number of commands of a type which executed within 5 milliseconds, but more than 1 milliseconds",0,proxysql,Command count 5ms
proxysql.performance.command.cnt_10ms,count,,command,,"Number of commands of a type which executed within 10 milliseconds, but more than 5 milliseconds",0,proxysql,Command count 10ms
proxysql.performance.command.cnt_50ms,count,,command,,"Number of commands of a type which executed within 50 milliseconds, but more than 10 milliseconds",0,proxysql,Command count 50ms
proxysql.performance.command.cnt_100ms,count,,command,,"Number of commands of a type which executed within 100 milliseconds, but more than 50 milliseconds",0,proxysql,Command count 100ms
proxysql.performance.command.cnt_500ms,count,,command,,"Number of commands of a type which executed within 500 milliseconds, but more than 100 milliseconds",0,proxysql,Command count 500ms
proxysql.performance.command.cnt_1s,count,,command,,"Number of commands of a type which executed within 1 second, but more than 500 milliseconds",0,proxysql,Command count 1s
proxysql.performance.command.cnt_5s,count,,command,,"Number of commands of a type which executed within 5 seconds, but more than 1 second",0,proxysql,Command count 5s
proxysql.performance.command.cnt_10s,count,,command,,"Number of commands of a type which executed within 10 seconds, but more than 5 seconds",0,proxysql,Command count 10s
proxysql.performance.command.cnt_INFs,count,,command,,Number of commands whose execution exceeded 10 seconds,0,proxysql,Command count INFs
proxysql.pool.connections_used,gauge,,connection,,How many connections are currently used by ProxySQL for sending queries to the backend server,0,proxysql,Connection Pool used connections
